onset	duration	sample	value
331,532	4,016	82883	200
3311,1	1,008	827775	202
3312,108	0,992	828027	203
3313,1	15,008	828275	3
3328,108	4	832027	200
3332,108	4	833027	201
3336,108	1,008	834027	202
3337,116	0,992	834279	203
3338,108	3,584	834527	3
3341,692	1,008	835423	103
3342,7	4	835675	200
3346,7	4	836675	201
335,548	3,984	83887	201
3350,7	1,008	837675	202
3351,708	0,992	837927	203
3352,7	3,536	838175	4
3356,236	0,992	839059	104
3357,228	4	839307	200
3361,228	4,016	840307	201
3365,244	0,992	841311	202
3366,236	1,008	841559	203
3367,244	3,6	841811	4
3370,844	0,992	842711	104
3371,836	4	842959	200
3375,836	4,016	843959	201
3379,852	0,992	844963	202
3380,844	0,992	845211	203
3381,836	6,576	845459	3
3388,412	0,992	847103	103
3389,404	4	847351	200
339,532	2,016	84883	202
3393,404	4	848351	201
3397,404	1,008	849351	202
3398,412	1,008	849603	203
3399,42	11,712	849855	3
341,548	1,008	85387	203
3411,132	1,008	852783	103
3412,14	4,016	853035	200
3416,156	3,984	854039	201
342,556	4,016	85639	1
3420,14	0,992	855035	202
3421,132	1,008	855283	203
3422,14	3,568	855535	4
3425,708	1,008	856427	104
3426,716	4	856679	200
3430,716	4	857679	201
3434,716	0,992	858679	202
3435,708	1,024	858927	203
3436,732	3,6	859183	4
3440,332	0,992	860083	104
3441,324	4,016	860331	200
3445,34	3,984	861335	201
3449,324	1,008	862331	202
3450,332	1,008	862583	203
3451,34	3,584	862835	3
3454,924	1,008	863731	103
3455,932	4	863983	200
3459,932	4	864983	201
346,572	4	86643	200
3463,932	1,008	865983	202
3464,94	0,992	866235	203
3465,932	3,584	866483	4
3469,516	1,008	867379	104
3470,524	4	867631	200
3474,524	4,016	868631	201
3478,54	0,992	869635	202
3479,532	1,008	869883	203
3480,54	3,6	870135	4
3484,14	0,992	871035	104
3485,132	4	871283	200
3489,132	4	872283	201
3493,132	1,008	873283	202
3494,14	0,992	873535	203
3495,132	3,52	873783	4
3498,652	1,008	874663	104
3499,66	4	874915	200
35,052	4	8763	201
350,572	4	87643	201
3503,66	4	875915	201
3507,66	1,008	876915	202
3508,668	0,992	877167	203
3509,66	3,456	877415	3
3513,116	1,008	878279	103
3514,124	4	878531	200
3518,124	4	879531	201
3522,124	1,008	880531	202
3523,132	0,992	880783	203
3524,124	5,056	881031	3
3529,18	1,008	882295	103
3530,188	4	882547	200
3534,188	4	883547	201
3538,188	1,008	884547	202
3539,196	1,008	884799	203
354,572	2	88643	202
3540,204	7,056	885051	3
3547,26	1,008	886815	103
3548,268	3,984	887067	200
3552,252	4	888063	201
3556,252	1,008	889063	202
3557,26	0,992	889315	203
3558,252	7,088	889563	4
356,572	1,008	89143	203
3565,34	1,008	891335	104
3566,348	4	891587	200
357,58	4,016	89395	1
3570,348	4	892587	201
3574,348	0,992	893587	202
3575,34	1,024	893835	203
3576,364	5,936	894091	4
3582,3	0,992	895575	104
3583,292	4,016	895823	200
3587,308	4	896827	201
3591,308	1,008	897827	202
3592,316	0,992	898079	203
3593,308	3,536	898327	3
3596,844	1,008	899211	103
3597,852	4	899463	200
3601,852	4	900463	201
3605,852	0,992	901463	202
3606,844	1,008	901711	203
3607,852	7,568	901963	3
361,596	4	90399	200
3615,42	1,008	903855	103
3616,428	4	904107	200
3620,428	4	905107	201
3624,428	0,992	906107	202
3625,42	1,008	906355	203
3626,428	4,4	906607	3
3630,828	0,992	907707	103
3631,82	4,016	907955	200
3635,836	3,984	908959	201
3639,82	1,024	909955	202
3640,844	0,992	910211	203
3641,836	14,144	910459	3
365,596	4,016	91399	201
3655,98	1,008	913995	103
3656,988	4	914247	200
3660,988	4	915247	201
3664,988	1,008	916247	202
3665,996	1,008	916499	203
3667,004	3,552	916751	4
3670,556	1,008	917639	104
3671,564	4	917891	200
3675,564	4	918891	201
3679,564	1,008	919891	202
3680,572	0,992	920143	203
3681,564	10,96	920391	4
369,612	2	92403	202
3692,524	0,992	923131	104
3693,516	4	923379	200
3697,516	4	924379	201
3701,516	1,008	925379	202
3702,524	1,008	925631	203
3703,532	3,584	925883	3
3707,116	0,992	926779	103
3708,108	4	927027	200
371,612	0,992	92903	203
3712,108	4	928027	201
3716,108	1,008	929027	202
3717,116	0,992	929279	203
3718,108	4,624	929527	4
372,604	4,016	93151	2
3722,732	1,008	930683	104
3723,74	4	930935	200
3727,74	4	931935	201
3731,74	1,008	932935	202
3732,748	0,992	933187	203
3733,74	3,472	933435	4
3737,212	1,008	934303	104
3738,22	4	934555	200
376,62	4	94155	200
380,62	4	95155	201
384,62	2	96155	202
386,62	1,024	96655	203
387,644	4	96911	2
39,052	2	9763	202
391,644	4,016	97911	200
395,66	3,984	98915	201
399,644	2,016	99911	202
401,66	0,992	100415	203
402,652	4,016	100663	1
406,668	4	101667	200
41,052	1,008	10263	203
410,668	4	102667	201
414,668	2	103667	202
416,668	1,024	104167	203
417,692	4	104423	2
42,06	4	10515	2
421,692	4,016	105423	200
425,708	3,984	106427	201
429,692	2,016	107423	202
431,708	1,008	107927	203
432,716	4	108179	2
436,716	4	109179	200
440,716	4	110179	201
444,716	2,016	111179	202
446,732	0,992	111683	203
447,724	4,016	111931	1
451,74	8,992	112935	200
46,06	4,016	11515	200
460,732	4	115183	201
464,732	2	116183	202
466,732	0,992	116683	203
467,724	4,016	116931	2
471,74	4	117935	200
475,74	4	118935	201
479,74	2,016	119935	202
481,756	1,008	120439	203
